	estilo	livro	capitulo	versiculo	texto
0	ARC	Mateus	1	1	Livro da geração de Jesus Cristo , Filho de Davi , Filho de Abraão .
1	ARC	Mateus	1	2009	Sociedade Bíblica do Brasil . Todos os direitos reservados / All rights reserved .
2	ARC	Mateus	1	2	Abraão gerou a Isaque , e Isaque gerou a Jacó , e Jacó gerou a Judá e a seus irmãos ,
3	ARC	Mateus	1	3	e Judá gerou de Tamar a Perez e a Zerá , e Perez gerou a Esrom , e Esrom gerou a Arão .
4	ARC	Mateus	1	4	Arão gerou a Aminadabe , e Aminadabe gerou a Naassom , e Naassom gerou a Salmom ,
5	ARC	Mateus	1	5	e Salmom gerou de Raabe a Boaz , e Boaz gerou de Rute a Obede , e Obede gerou a Jessé .
6	ARC	Mateus	1	6	Jessé gerou ao rei Davi , e o rei Davi gerou a Salomão da que foi mulher de Urias .
7	ARC	Mateus	1	7	Salomão gerou a Roboão , e Roboão gerou a Abias , e Abias gerou a Asa ,
8	ARC	Mateus	1	8	e Asa gerou a Josafá , e Josafá gerou a Jorão , e Jorão gerou a Uzias ,
9	ARC	Mateus	1	9	e Uzias gerou a Jotão , e Jotão gerou a Acaz , e Acaz gerou a Ezequias .
10	ARC	Mateus	1	10	Ezequias gerou a Manassés , e Manassés gerou a Amom , e Amom gerou a Josias ,
11	ARC	Mateus	1	11	e Josias gerou a Jeconias e a seus irmãos na deportação para a Babilônia .
12	ARC	Mateus	1	12	E , depois da deportação para a Babilônia , Jeconias gerou a Salatiel , e Salatiel gerou a Zorobabel ,
13	ARC	Mateus	1	13	e Zorobabel gerou a Abiúde , e Abiúde gerou a Eliaquim , e Eliaquim gerou a Azor ,
14	ARC	Mateus	1	14	e Azor gerou a Sadoque , e Sadoque gerou a Aquim , e Aquim gerou a Eliúde ,
15	ARC	Mateus	1	15	e Eliúde gerou a Eleazar , e Eleazar gerou a Matã , e Matã gerou a Jacó ,
16	ARC	Mateus	1	16	e Jacó gerou a José , marido de Maria , da qual nasceu Jesus , que se chama o Cristo .
17	ARC	Mateus	1	17	De sorte que todas as gerações , desde Abraão até Davi , são catorze gerações ; e , desde Davi até a deportação para a Babilônia , catorze gerações ; e , desde a deportação para a Babilônia até Cristo , catorze gerações . O nascimento de Jesus Cristo
18	ARC	Mateus	1	18	Ora , o nascimento de Jesus Cristo foi assim : Estando Maria , sua mãe , desposada com José , antes de se ajuntarem , achou-se ter concebido do Espírito Santo .
19	ARC	Mateus	1	19	Então , José , seu marido , como era justo e a não queria infamar , intentou deixá-la secretamente .
20	ARC	Mateus	1	20	E , projetando ele isso , eis que , em sonho , lhe apareceu um anjo do Senhor , dizendo : José , filho de Davi , não temas receber a Maria , tua mulher , porque o que nela está gerado é do Espírito Santo .
21	ARC	Mateus	1	21	E ela dará à luz um filho , e lhe porás o nome de Jesus , porque ele salvará o seu povo dos seus pecados .
22	ARC	Mateus	1	22	Tudo isso aconteceu para que se cumprisse o que foi dito da parte do Senhor pelo profeta , que diz :
23	ARC	Mateus	1	23	Eis que a virgem conceberá e dará à luz um filho , e ele será chamado pelo nome de Emanuel . ( Emanuel traduzido é : Deus conosco ) .
24	ARC	Mateus	1	24	E José , despertando do sonho , fez como o anjo do Senhor lhe ordenara , e recebeu a sua mulher ,
25	ARC	Mateus	1	25	e não a conheceu até que deu à luz seu filho , o primogênito ; e pôs-lhe o nome de Jesus . Copyright
26	ARC	Mateus	2	2	e perguntaram : Onde está aquele que é nascido rei dos judeus ? Porque vimos a sua estrela no Oriente e viemos a adorá-lo .
27	ARC	Mateus	2	2009	Sociedade Bíblica do Brasil . Todos os direitos reservados / All rights reserved .
28	ARC	Mateus	2	3	E o rei Herodes , ouvindo isso , perturbou-se , e toda a Jerusalém , com ele .
29	ARC	Mateus	2	4	E , congregados todos os príncipes dos sacerdotes e os escribas do povo , perguntou-lhes onde havia de nascer o Cristo .
30	ARC	Mateus	2	5	E eles lhe disseram : Em Belém da Judeia , porque assim está escrito pelo profeta :
31	ARC	Mateus	2	6	E tu , Belém , terra de Judá , de modo nenhum és a menor entre as capitais de Judá , porque de ti sairá o Guia que há de apascentar o meu povo de Israel .
32	ARC	Mateus	2	7	Então , Herodes , chamando secretamente os magos , inquiriu exatamente deles acerca do tempo em que a estrela lhes aparecera .
33	ARC	Mateus	2	8	E , enviando-os a Belém , disse : Ide , e perguntai diligentemente pelo menino , e , quando o achardes , participai-mo , para que também eu vá e o adore .
34	ARC	Mateus	2	9	E , tendo eles ouvido o rei , partiram ; e eis que a estrela que tinham visto no Oriente ia adiante deles , até que , chegando , se deteve sobre o lugar onde estava o menino .
35	ARC	Mateus	2	10	E , vendo eles a estrela , alegraram-se muito com grande júbilo .
