	estilo	livro	capitulo	versiculo	texto
0	ARC	Gênesis	1	1	No princípio , criou Deus os céus e a terra .
1	ARC	Gênesis	1	2009	Sociedade Bíblica do Brasil . Todos os direitos reservados / All rights reserved .
2	ARC	Gênesis	1	2	E a terra era sem forma e vazia ; e havia trevas sobre a face do abismo ; e o Espírito de Deus se movia sobre a face das águas .
3	ARC	Gênesis	1	3	E disse Deus : Haja luz . E houve luz .
4	ARC	Gênesis	1	4	E viu Deus que era boa a luz ; e fez Deus separação entre a luz e as trevas .
5	ARC	Gênesis	1	5	E Deus chamou à luz Dia ; e às trevas chamou Noite . E foi a tarde e a manhã : o dia primeiro .
6	ARC	Gênesis	1	6	E disse Deus : Haja uma expansão no meio das águas , e haja separação entre águas e águas .
7	ARC	Gênesis	1	7	E fez Deus a expansão e fez separação entre as águas que estavam debaixo da expansão e as águas que estavam sobre a expansão . E assim foi .
8	ARC	Gênesis	1	8	E chamou Deus à expansão Céus ; e foi a tarde e a manhã : o dia segundo .
9	ARC	Gênesis	1	9	E disse Deus : Ajuntem-se as águas debaixo dos céus num lugar ; e apareça a porção seca . E assim foi .
10	ARC	Gênesis	1	10	E chamou Deus à porção seca Terra ; e ao ajuntamento das águas chamou Mares . E viu Deus que era bom .
11	ARC	Gênesis	1	11	E disse Deus : Produza a terra erva verde , erva que dê semente , árvore frutífera que dê fruto segundo a sua espécie , cuja semente esteja nela sobre a terra . E assim foi .
12	ARC	Gênesis	1	12	E a terra produziu erva , erva dando semente conforme a sua espécie e árvore frutífera , cuja semente está nela conforme a sua espécie . E viu Deus que era bom .
13	ARC	Gênesis	1	13	E foi a tarde e a manhã : o dia terceiro .
14	ARC	Gênesis	1	14	E disse Deus : Haja luminares na expansão dos céus , para haver separação entre o dia e a noite ; e sejam eles para sinais e para tempos determinados e para dias e anos .
15	ARC	Gênesis	1	15	E sejam para luminares na expansão dos céus , para alumiar a terra . E assim foi .
16	ARC	Gênesis	1	16	E fez Deus os dois grandes luminares : o luminar maior para governar o dia , e o luminar menor para governar a noite ; e fez as estrelas .
