	estilo	livro	capitulo	versiculo	texto
0	NTLH	Mateus	1	1	Esta é a lista dos antepassados de Jesus Cristo , descendente de Davi , que era descendente de Abraão .
1	NTLH	Mateus	1	2000	Sociedade Bíblica do Brasil . Todos os direitos reservados / All rights reserved .
2	NTLH	Mateus	1	2	Abraão foi pai de Isaque , Isaque foi pai de Jacó , e Jacó foi pai de Judá e dos seus irmãos .
3	NTLH	Mateus	1	3	Judá foi pai de Peres e de Zera , e a mãe deles foi Tamar . Peres foi pai de Esrom , que foi pai de Arão .
4	NTLH	Mateus	1	4	Arão foi pai de Aminadabe , que foi pai de Nasom , que foi pai de Salmom .
5	NTLH	Mateus	1	5	Salmom foi pai de Boaz , e a mãe de Boaz foi Raabe . Boaz foi pai de Obede , e a mãe de Obede foi Rute . Obede foi pai de Jessé ,
6	NTLH	Mateus	1	6	que foi pai do rei Davi . Davi e a mulher que tinha sido esposa de Urias foram os pais de Salomão .
7	NTLH	Mateus	1	7	Salomão foi pai de Roboão , que foi pai de Abias , que foi pai de Asa .
8	NTLH	Mateus	1	8	Asa foi pai de Josafá , que foi pai de Jorão , que foi pai de Uzias .
9	NTLH	Mateus	1	9	Uzias foi pai de Jotão , que foi pai de Acaz , que foi pai de Ezequias .
10	NTLH	Mateus	1	10	Ezequias foi pai de Manassés , que foi pai de Amom , que foi pai de Josias .
11	NTLH	Mateus	1	11	Josias foi pai de Jeconias e dos seus irmãos , no tempo em que os israelitas foram levados como prisioneiros para a Babilônia .
12	NTLH	Mateus	1	12	Depois que o povo foi levado para a Babilônia , Jeconias foi pai de Salatiel , que foi pai de Zorobabel .
13	NTLH	Mateus	1	13	Zorobabel foi pai de Abiúde , que foi pai de Eliaquim , que foi pai de Azor .
14	NTLH	Mateus	1	14	Azor foi pai de Sadoque , que foi pai de Aquim , que foi pai de Eliúde .
15	NTLH	Mateus	1	15	Eliúde foi pai de Eleazar , que foi pai de Matã , que foi pai de Jacó .
16	NTLH	Mateus	1	16	Jacó foi pai de José , marido de Maria , e ela foi a mãe de Jesus , chamado Messias .
17	NTLH	Mateus	1	17	Assim , houve catorze gerações desde Abraão até Davi , e catorze , desde Davi até que os israelitas foram levados para a Babilônia . Daí até o nascimento do Messias , também houve catorze gerações . O nascimento de Jesus Cristo ( B )
18	NTLH	Mateus	1	18	O nascimento de Jesus Cristo foi assim : Maria , a sua mãe , ia casar com José . Mas antes do casamento ela ficou grávida pelo Espírito Santo .
19	NTLH	Mateus	1	19	José , com quem Maria ia casar , era um homem que sempre fazia o que era direito . Ele não queria difamar Maria e por isso resolveu desmanchar o contrato de casamento sem ninguém saber .
20	NTLH	Mateus	1	20	Enquanto José estava pensando nisso , um anjo do Senhor apareceu a ele num sonho e disse : — José , descendente de Davi , não tenha medo de receber Maria como sua esposa , pois ela está grávida pelo Espírito Santo .
21	NTLH	Mateus	1	21	Ela terá um menino , e você porá nele o nome de Jesus , pois ele salvará o seu povo dos pecados deles .
22	NTLH	Mateus	1	22	Tudo isso aconteceu para se cumprir o que o Senhor tinha dito por meio do profeta :
23	NTLH	Mateus	1	23	“ A virgem ficará grávida e terá um filho que receberá o nome de Emanuel. ” ( Emanuel quer dizer “ Deus está conosco ” . )
24	NTLH	Mateus	1	24	Quando José acordou , fez o que o anjo do Senhor havia mandado e casou com Maria .
25	NTLH	Mateus	1	25	Porém não teve relações com ela até que a criança nasceu . E José pôs no menino o nome de Jesus . Copyright
26	NTLH	Mateus	2	2	Eles perguntaram : — Onde está o menino que nasceu para ser o rei dos judeus ? Nós vimos a estrela dele no Oriente e viemos adorá-lo .
27	NTLH	Mateus	2	2000	Sociedade Bíblica do Brasil . Todos os direitos reservados / All rights reserved .
28	NTLH	Mateus	2	3	Quando o rei Herodes soube disso , ficou muito preocupado , e todo o povo de Jerusalém também ficou .
29	NTLH	Mateus	2	4	Então Herodes reuniu os chefes dos sacerdotes e os mestres da Lei e perguntou onde devia nascer o Messias .
30	NTLH	Mateus	2	5	Eles responderam : — Na cidade de Belém , na região da Judeia , pois o profeta escreveu o seguinte :
31	NTLH	Mateus	2	6	“ Você , Belém , da terra de Judá , de modo nenhum é a menor entre as principais cidades de Judá , pois de você sairá o líder que guiará o meu povo de Israel. ”
32	NTLH	Mateus	2	7	Então Herodes chamou os visitantes do Oriente para uma reunião secreta e perguntou qual o tempo exato em que a estrela havia aparecido ; e eles disseram .
33	NTLH	Mateus	2	8	Depois os mandou a Belém com a seguinte ordem : — Vão e procurem informações bem certas sobre o menino . E , quando o encontrarem , me avisem , para eu também ir adorá-lo .
34	NTLH	Mateus	2	9	Depois de receberem a ordem do rei , os visitantes foram embora . No caminho viram a estrela , a mesma que tinham visto no Oriente . Ela foi adiante deles e parou acima do lugar onde o menino estava .
35	NTLH	Mateus	2	10	Quando viram a estrela , eles ficaram muito alegres e felizes .
36	NTLH	Mateus	2	11	Entraram na casa e encontraram o menino com Maria , a sua mãe . Então se ajoelharam diante dele e o adoraram . Depois abriram os seus cofres e lhe ofereceram presentes : ouro , incenso e mirra .
37	NTLH	Mateus	2	12	E num sonho Deus os avisou que não voltassem para falar com Herodes . Por isso voltaram para a sua terra por outro caminho . A fuga para o Egito
38	NTLH	Mateus	2	13	Depois que os visitantes foram embora , um anjo do Senhor apareceu num sonho a José e disse : — Levante-se , pegue a criança e a sua mãe e fuja para o Egito . Fiquem lá até eu avisar , pois Herodes está procurando a criança para matá-la .
39	NTLH	Mateus	2	14	Então José se levantou no meio da noite , pegou a criança e a sua mãe e fugiu para o Egito .
40	NTLH	Mateus	2	15	E eles ficaram lá até a morte de Herodes . Isso aconteceu para se cumprir o que o Senhor tinha dito por meio do profeta : “ Eu chamei o meu filho , que estava na terra do Egito. ” A matança das crianças
41	NTLH	Mateus	2	16	Quando Herodes viu que os visitantes do Oriente o haviam enganado , ficou com muita raiva e mandou matar , em Belém e nas suas vizinhanças , todos os meninos de menos de dois anos . Ele fez isso de acordo com a informação que havia recebido sobre o tempo em que a estrela havia aparecido .
42	NTLH	Mateus	2	17	Assim se cumpriu o que o profeta Jeremias tinha dito :
43	NTLH	Mateus	2	18	“ Ouviu-se um som em Ramá , o som de um choro amargo . Era Raquel chorando pelos seus filhos ; ela não quis ser consolada , pois todos estavam mortos. ” A volta do Egito
44	NTLH	Mateus	2	19	Depois que Herodes morreu , um anjo do Senhor apareceu num sonho a José , no Egito ,
45	NTLH	Mateus	2	20	e disse : — Levante-se , pegue a criança e a sua mãe e volte para a terra de Israel , pois as pessoas que queriam matar o menino já morreram .
46	NTLH	Mateus	2	21	Então José se levantou , pegou a criança e a sua mãe e voltou para a terra de Israel .
47	NTLH	Mateus	2	22	Mas , quando ficou sabendo que Arquelau , filho do rei Herodes , estava governando a Judeia no lugar do seu pai , teve medo de ir morar lá . Depois de receber num sonho mais instruções , José foi para a região da Galileia
48	NTLH	Mateus	2	23	e ficou morando numa cidade chamada Nazaré . Isso aconteceu para se cumprir o que os profetas tinham dito : “ O Messias será chamado de Nazareno. ” Copyright
49	NTLH	Mateus	3	3	A respeito de João , o profeta Isaías tinha escrito o seguinte : “ Alguém está gritando no deserto : Preparem o caminho para o Senhor passar ! Abram estradas retas para ele ! ”
50	NTLH	Mateus	3	2000	Sociedade Bíblica do Brasil . Todos os direitos reservados / All rights reserved .
51	NTLH	Mateus	3	2	dizendo : — Arrependam-se dos seus pecados porque o Reino do Céu está perto !
52	NTLH	Mateus	3	4	João usava uma roupa feita de pelos de camelo e um cinto de couro e comia gafanhotos e mel do mato .
53	NTLH	Mateus	3	5	Os moradores de Jerusalém , da região da Judeia e de todos os lugares em volta do rio Jordão iam ouvi-lo .
54	NTLH	Mateus	3	6	Eles confessavam os seus pecados , e João os batizava no rio Jordão .
55	NTLH	Mateus	3	7	Quando João viu que muitos fariseus e saduceus vinham para serem batizados por ele , disse : — Ninhada de cobras venenosas ! Quem disse que vocês escaparão do terrível castigo que Deus vai mandar ?
56	NTLH	Mateus	3	8	Façam coisas que mostrem que vocês se arrependeram dos seus pecados .
57	NTLH	Mateus	3	9	E não digam uns aos outros : “ Abraão é nosso antepassado. ” Pois eu afirmo a vocês que até destas pedras Deus pode fazer descendentes de Abraão !
58	NTLH	Mateus	3	10	O machado já está pronto para cortar as árvores pela raiz . Toda árvore que não dá frutas boas será cortada e jogada no fogo .
59	NTLH	Mateus	3	11	Eu os batizo com água para mostrar que vocês se arrependeram dos seus pecados , mas aquele que virá depois de mim os batizará com o Espírito Santo e fogo . Ele é mais importante do que eu , e não mereço a honra de carregar as sandálias dele .
60	NTLH	Mateus	3	12	Com a pá que tem na mão ele vai separar o trigo da palha . Guardará o trigo no seu depósito , mas queimará a palha no fogo que nunca se apaga . O batismo de Jesus ( B )
61	NTLH	Mateus	3	13	Naqueles dias , Jesus foi da Galileia até o rio Jordão a fim de ser batizado por João Batista .
62	NTLH	Mateus	3	14	Mas João tentou convencê-lo a mudar de ideia , dizendo assim : — Eu é que preciso ser batizado por você , e você está querendo que eu o batize ?
63	NTLH	Mateus	3	15	Mas Jesus respondeu : — Deixe que seja assim agora , pois é dessa maneira que faremos tudo o que Deus quer . E João concordou .
64	NTLH	Mateus	3	16	Logo que foi batizado , Jesus saiu da água . O céu se abriu , e Jesus viu o Espírito de Deus descer como uma pomba e pousar sobre ele .
65	NTLH	Mateus	3	17	E do céu veio uma voz , que disse : — Este é o meu Filho querido , que me dá muita alegria ! Copyright
66	NTLH	Mateus	4	4	Jesus respondeu : — As Escrituras Sagradas afirmam : “ O ser humano não vive só de pão , mas vive de tudo o que Deus diz. ”
67	NTLH	Mateus	4	2000	Sociedade Bíblica do Brasil . Todos os direitos reservados / All rights reserved .
68	NTLH	Mateus	4	2	E , depois de passar quarenta dias e quarenta noites sem comer , Jesus estava com fome .
69	NTLH	Mateus	4	3	Então o Diabo chegou perto dele e disse : — Se você é o Filho de Deus , mande que estas pedras virem pão .
70	NTLH	Mateus	4	5	Em seguida o Diabo levou Jesus até Jerusalém , a Cidade Santa , e o colocou no lugar mais alto do Templo .
71	NTLH	Mateus	4	6	Então disse : — Se você é o Filho de Deus , jogue-se daqui , pois as Escrituras Sagradas afirmam : “ Deus mandará que os seus anjos cuidem de você . Eles vão segurá-lo com as suas mãos , para que nem mesmo os seus pés sejam feridos nas pedras. ”
72	NTLH	Mateus	4	7	Jesus respondeu : — Mas as Escrituras Sagradas também dizem : “ Não ponha à prova o Senhor , seu Deus. ”
73	NTLH	Mateus	4	8	Depois o Diabo levou Jesus para um monte muito alto , mostrou-lhe todos os reinos do mundo e as suas grandezas
74	NTLH	Mateus	4	9	e disse : — Eu lhe darei tudo isso se você se ajoelhar e me adorar .
75	NTLH	Mateus	4	10	Jesus respondeu : — Vá embora , Satanás ! As Escrituras Sagradas afirmam : “ Adore o Senhor , seu Deus , e sirva somente a ele. ”
76	NTLH	Mateus	4	11	Então o Diabo foi embora , e vieram anjos e cuidaram de Jesus . Jesus começa o seu trabalho na Galileia ( B )
77	NTLH	Mateus	4	12	Quando Jesus soube que João tinha sido preso , foi para a região da Galileia .
78	NTLH	Mateus	4	13	Não ficou em Nazaré , mas foi morar na cidade de Cafarnaum , na beira do lago da Galileia , nas regiões de Zebulom e Naftali .
79	NTLH	Mateus	4	14	Isso aconteceu para se cumprir o que o profeta Isaías tinha dito :
80	NTLH	Mateus	4	15	“ Terra de Zebulom e terra de Naftali , na direção do mar , do outro lado do rio Jordão , Galileia , onde moram os pagãos !
81	NTLH	Mateus	4	16	O povo que vive na escuridão verá uma forte luz ! E a luz brilhará sobre os que vivem na região escura da morte ! ”
82	NTLH	Mateus	4	17	Daí em diante Jesus começou a anunciar a sua mensagem . Ele dizia : — Arrependam-se dos seus pecados porque o Reino do Céu está perto ! Jesus chama quatro pescadores ( C )
83	NTLH	Mateus	4	18	Jesus estava andando pela beira do lago da Galileia quando viu dois irmãos que eram pescadores : Simão , também chamado de Pedro , e André . Eles estavam no lago , pescando com redes .
84	NTLH	Mateus	4	19	Jesus lhes disse : — Venham comigo , que eu ensinarei vocês a pescar gente .
85	NTLH	Mateus	4	20	Então eles largaram logo as redes e foram com Jesus .
86	NTLH	Mateus	4	21	Um pouco mais adiante Jesus viu outros dois irmãos , Tiago e João , filhos de Zebedeu . Eles estavam no barco junto com o pai , consertando as redes . Jesus chamou os dois ,
87	NTLH	Mateus	4	22	e , no mesmo instante , eles deixaram o pai e o barco e foram com ele . Jesus ensina e cura muita gente ( D )
88	NTLH	Mateus	4	23	Jesus andou por toda a Galileia , ensinando nas sinagogas , anunciando a boa notícia do Reino e curando as enfermidades e as doenças graves do povo .
89	NTLH	Mateus	4	24	As notícias a respeito dele se espalharam por toda a região da Síria . Por isso o povo levava a Jesus pessoas que sofriam de várias doenças e de todos os tipos de males , isto é , epiléticos , paralíticos e pessoas dominadas por demônios ; e ele curava todos .
90	NTLH	Mateus	4	25	Grandes multidões o seguiam ; eram gente da Galileia , das Dez Cidades , de Jerusalém , da Judeia e das regiões que ficam no lado leste do rio Jordão . Copyright
91	NTLH	Mateus	5	5	— Felizes as pessoas humildes , pois receberão o que Deus tem prometido .
92	NTLH	Mateus	5	2000	Sociedade Bíblica do Brasil . Todos os direitos reservados / All rights reserved .
93	NTLH	Mateus	5	2	e ele começou a ensiná-los . A verdadeira felicidade ( A ) Jesus disse :
94	NTLH	Mateus	5	3	— Felizes as pessoas que sabem que são espiritualmente pobres , pois o Reino do Céu é delas .
95	NTLH	Mateus	5	4	— Felizes as pessoas que choram , pois Deus as consolará .
96	NTLH	Mateus	5	6	— Felizes as pessoas que têm fome e sede de fazer a vontade de Deus , pois ele as deixará completamente satisfeitas .
97	NTLH	Mateus	5	7	— Felizes as pessoas que têm misericórdia dos outros , pois Deus terá misericórdia delas .
98	NTLH	Mateus	5	8	— Felizes as pessoas que têm o coração puro , pois elas verão a Deus .
99	NTLH	Mateus	5	9	— Felizes as pessoas que trabalham pela paz , pois Deus as tratará como seus filhos .
100	NTLH	Mateus	5	10	— Felizes as pessoas que sofrem perseguições por fazerem a vontade de Deus , pois o Reino do Céu é delas .
101	NTLH	Mateus	5	11	— Felizes são vocês quando os insultam , perseguem e dizem todo tipo de calúnia contra vocês por serem meus seguidores .
102	NTLH	Mateus	5	12	Fiquem alegres e felizes , pois uma grande recompensa está guardada no céu para vocês . Porque foi assim mesmo que perseguiram os profetas que viveram antes de vocês . O sal e a luz ( B )
