	estilo	livro	capitulo	versiculo	texto
0	NTLH	Gênesis	1	1	No começo Deus criou os céus e a terra .
1	NTLH	Gênesis	1	2000	Sociedade Bíblica do Brasil . Todos os direitos reservados / All rights reserved .
2	NTLH	Gênesis	1	2	A terra era um vazio , sem nenhum ser vivente , e estava coberta por um mar profundo . A escuridão cobria o mar , e o Espírito de Deus se movia por cima da água .
3	NTLH	Gênesis	1	3	Então Deus disse : — Que haja luz ! E a luz começou a existir .
4	NTLH	Gênesis	1	4	Deus viu que a luz era boa e a separou da escuridão .
5	NTLH	Gênesis	1	5	Deus pôs na luz o nome de “ dia ” e na escuridão pôs o nome de “ noite ” . A noite passou , e veio a manhã . Esse foi o primeiro dia .
6	NTLH	Gênesis	1	6	Então Deus disse : — Que haja no meio da água uma divisão para separá-la em duas partes !
7	NTLH	Gênesis	1	7	E assim aconteceu . Deus fez uma divisão que separou a água em duas partes : uma parte ficou do lado de baixo da divisão , e a outra parte ficou do lado de cima .
8	NTLH	Gênesis	1	8	Nessa divisão Deus pôs o nome de “ céu ” . A noite passou , e veio a manhã . Esse foi o segundo dia .
9	NTLH	Gênesis	1	9	Aí Deus disse : — Que a água que está debaixo do céu se ajunte num só lugar a fim de que apareça a terra seca ! E assim aconteceu .
10	NTLH	Gênesis	1	10	Deus pôs na parte seca o nome de “ terra ” e nas águas que se haviam ajuntado ele pôs o nome de “ mares ” . E Deus viu que o que havia feito era bom .
11	NTLH	Gênesis	1	11	Em seguida ele disse : — Que a terra produza todo tipo de vegetais , isto é , plantas que deem sementes e árvores que deem frutas ! E assim aconteceu .
12	NTLH	Gênesis	1	12	A terra produziu todo tipo de vegetais : plantas que dão sementes e árvores que dão frutas . E Deus viu que o que havia feito era bom .
13	NTLH	Gênesis	1	13	A noite passou , e veio a manhã . Esse foi o terceiro dia .
14	NTLH	Gênesis	1	14	Então Deus disse : — Que haja luzes no céu para separarem o dia da noite e para marcarem os dias , os anos e as estações !
15	NTLH	Gênesis	1	15	Essas luzes brilharão no céu para iluminar a terra . E assim aconteceu .
