	estilo	livro	capitulo	versiculo	texto
0	NVI-PT	Mateus	1	1	Registro da genealogia de Jesus Cristo , filho de Davi , filho de Abraão :
1	NVI-PT	Mateus	1	2	Abraão gerou Isaque ; Isaque gerou Jacó ; Jacó gerou Judá e seus irmãos ;
2	NVI-PT	Mateus	1	3	Judá gerou Perez e Zerá , cuja mãe foi Tamar ; Perez gerou Esrom ; Esrom gerou Arão ;
3	NVI-PT	Mateus	1	4	Arão gerou Aminadabe ; Aminadabe gerou Naassom ; Naassom gerou Salmom ;
4	NVI-PT	Mateus	1	5	Salmom gerou Boaz , cuja mãe foi Raabe ; Boaz gerou Obede , cuja mãe foi Rute ; Obede gerou Jessé ;
5	NVI-PT	Mateus	1	6	e Jessé gerou o rei Davi . Davi gerou Salomão , cuja mãe tinha sido mulher de Urias ;
6	NVI-PT	Mateus	1	7	Salomão gerou Roboão ; Roboão gerou Abias ; Abias gerou Asa ;
7	NVI-PT	Mateus	1	8	Asa gerou Josafá ; Josafá gerou Jorão ; Jorão gerou Uzias ;
8	NVI-PT	Mateus	1	9	Uzias gerou Jotão ; Jotão gerou Acaz ; Acaz gerou Ezequias ;
9	NVI-PT	Mateus	1	10	Ezequias gerou Manassés ; Manassés gerou Amom ; Amom gerou Josias ;
10	NVI-PT	Mateus	1	11	e Josias gerou Jeconias [ a ] e seus irmãos , no tempo do exílio na Babilônia .
11	NVI-PT	Mateus	1	12	Depois do exílio na Babilônia : Jeconias gerou Salatiel ; Salatiel gerou Zorobabel ;
12	NVI-PT	Mateus	1	13	Zorobabel gerou Abiúde ; Abiúde gerou Eliaquim ; Eliaquim gerou Azor ;
13	NVI-PT	Mateus	1	14	Azor gerou Sadoque ; Sadoque gerou Aquim ; Aquim gerou Eliúde ;
14	NVI-PT	Mateus	1	15	Eliúde gerou Eleazar ; Eleazar gerou Matã ; Matã gerou Jacó ;
15	NVI-PT	Mateus	1	16	e Jacó gerou José , marido de Maria , da qual nasceu Jesus , que é chamado Cristo .
16	NVI-PT	Mateus	1	17	Assim , ao todo houve catorze gerações de Abraão a Davi , catorze de Davi até o exílio na Babilônia , e catorze do exílio até o Cristo [ b ] . O Nascimento de Jesus Cristo ( B )
17	NVI-PT	Mateus	1	18	Foi assim o nascimento de Jesus Cristo : Maria , sua mãe , estava prometida em casamento a José , mas , antes que se unissem , achou-se grávida pelo Espírito Santo .
18	NVI-PT	Mateus	1	19	Por ser José , seu marido , um homem justo , e não querendo expô-la à desonra pública , pretendia anular o casamento secretamente .
19	NVI-PT	Mateus	1	20	Mas , depois de ter pensado nisso , apareceu-lhe um anjo do Senhor em sonho e disse : “ José , filho de Davi , não tema receber Maria como sua esposa , pois o que nela foi gerado procede do Espírito Santo .
20	NVI-PT	Mateus	1	21	Ela dará à luz um filho , e você deverá dar-lhe o nome de Jesus [ c ] , porque ele salvará o seu povo dos seus pecados ” .
21	NVI-PT	Mateus	1	22	Tudo isso aconteceu para que se cumprisse o que o Senhor dissera pelo profeta :
22	NVI-PT	Mateus	1	23	“ A virgem ficará grávida e dará à luz um filho , e lhe chamarão Emanuel ” [ d ] , que significa “ Deus conosco ” .
23	NVI-PT	Mateus	1	24	Ao acordar , José fez o que o anjo do Senhor lhe tinha ordenado e recebeu Maria como sua esposa .
24	NVI-PT	Mateus	1	25	Mas não teve relações com ela enquanto ela não deu à luz um filho . E ele lhe pôs o nome de Jesus . Biblia Sagrada , Nova Versão Internacional® , NVI® Copyright ©
25	NVI-PT	Mateus	1	1993	,
26	NVI-PT	Mateus	1	2000	by Biblica , Inc.® Used by permission . All rights reserved worldwide .
27	NVI-PT	Mateus	2	2	e perguntaram : “ Onde está o recém-nascido rei dos judeus ? Vimos a sua estrela no oriente [ a ] e viemos adorá-lo ” .
28	NVI-PT	Mateus	2	3	Quando o rei Herodes ouviu isso , ficou perturbado , e com ele toda Jerusalém .
29	NVI-PT	Mateus	2	4	Tendo reunido todos os chefes dos sacerdotes do povo e os mestres da lei , perguntou-lhes onde deveria nascer o Cristo .
30	NVI-PT	Mateus	2	5	E eles responderam : “ Em Belém da Judéia ; pois assim escreveu o profeta :
31	NVI-PT	Mateus	2	6	“ ‘ Mas tu , Belém , da terra de Judá , de forma alguma és a menor entre as principais cidades de Judá ; pois de ti virá o líder que , como pastor , conduzirá Israel , o meu povo ’ [ b ] ” .
32	NVI-PT	Mateus	2	7	Então Herodes chamou os magos secretamente e informou-se com eles a respeito do tempo exato em que a estrela tinha aparecido .
33	NVI-PT	Mateus	2	8	Enviou-os a Belém e disse : “ Vão informar-se com exatidão sobre o menino . Logo que o encontrarem , avisem-me , para que eu também vá adorá-lo ” .
34	NVI-PT	Mateus	2	9	Depois de ouvirem o rei , eles seguiram o seu caminho , e a estrela que tinham visto no oriente foi adiante deles , até que finalmente parou sobre o lugar onde estava o menino .
35	NVI-PT	Mateus	2	10	Quando tornaram a ver a estrela , encheram-se de júbilo .
36	NVI-PT	Mateus	2	11	Ao entrarem na casa , viram o menino com Maria , sua mãe , e , prostrando-se , o adoraram . Então abriram os seus tesouros e lhe deram presentes : ouro , incenso e mirra .
37	NVI-PT	Mateus	2	12	E , tendo sido advertidos em sonho para não voltarem a Herodes , retornaram a sua terra por outro caminho . A Fuga para o Egito
38	NVI-PT	Mateus	2	13	Depois que partiram , um anjo do Senhor apareceu a José em sonho e lhe disse : “ Levante-se , tome o menino e sua mãe , e fuja para o Egito . Fique lá até que eu lhe diga , pois Herodes vai procurar o menino para matá-lo ” .
39	NVI-PT	Mateus	2	14	Então ele se levantou , tomou o menino e sua mãe durante a noite , e partiu para o Egito ,
40	NVI-PT	Mateus	2	15	onde ficou até a morte de Herodes . E assim se cumpriu o que o Senhor tinha dito pelo profeta : “ Do Egito chamei o meu filho ” [ c ] .
41	NVI-PT	Mateus	2	16	Quando Herodes percebeu que havia sido enganado pelos magos , ficou furioso e ordenou que matassem todos os meninos de dois anos para baixo , em Belém e nas proximidades , de acordo com a informação que havia obtido dos magos .
42	NVI-PT	Mateus	2	17	Então se cumpriu o que fora dito pelo profeta Jeremias :
43	NVI-PT	Mateus	2	18	“ Ouviu-se uma voz em Ramá , choro e grande lamentação ; é Raquel que chora por seus filhos e recusa ser consolada , porque já não existem ” [ d ] . A Volta para Israel
44	NVI-PT	Mateus	2	19	Depois que Herodes morreu , um anjo do Senhor apareceu em sonho a José , no Egito ,
45	NVI-PT	Mateus	2	20	e disse : “ Levante-se , tome o menino e sua mãe , e vá para a terra de Israel , pois estão mortos os que procuravam tirar a vida do menino ” .
46	NVI-PT	Mateus	2	21	Ele se levantou , tomou o menino e sua mãe , e foi para a terra de Israel .
47	NVI-PT	Mateus	2	22	Mas , ao ouvir que Arquelau estava reinando na Judéia em lugar de seu pai Herodes , teve medo de ir para lá . Tendo sido avisado em sonho , retirou-se para a região da Galiléia
48	NVI-PT	Mateus	2	23	e foi viver numa cidade chamada Nazaré . Assim cumpriu-se o que fora dito pelos profetas : “ Ele será chamado Nazareno ” [ e ] . Biblia Sagrada , Nova Versão Internacional® , NVI® Copyright ©
49	NVI-PT	Mateus	2	1993	,
50	NVI-PT	Mateus	2	2000	by Biblica , Inc.® Used by permission . All rights reserved worldwide .
51	NVI-PT	Mateus	3	3	Este é aquele que foi anunciado pelo profeta Isaías : “ Voz do que clama no deserto : ‘ Preparem [ a ] o caminho para o Senhor , façam veredas retas para ele ’ ” [ b ] .
52	NVI-PT	Mateus	3	2	Ele dizia : “ Arrependam-se , pois o Reino dos céus está próximo ” .
53	NVI-PT	Mateus	3	4	As roupas de João eram feitas de pêlos de camelo , e ele usava um cinto de couro na cintura . O seu alimento era gafanhotos e mel silvestre .
54	NVI-PT	Mateus	3	5	A ele vinha gente de Jerusalém , de toda a Judéia e de toda a região ao redor do Jordão .
55	NVI-PT	Mateus	3	6	Confessando os seus pecados , eram batizados por ele no rio Jordão .
56	NVI-PT	Mateus	3	7	Quando viu que muitos fariseus e saduceus vinham para onde ele estava batizando , disse-lhes : “ Raça de víboras ! Quem lhes deu a idéia de fugir da ira que se aproxima ?
57	NVI-PT	Mateus	3	8	Dêem fruto que mostre o arrependimento !
58	NVI-PT	Mateus	3	9	Não pensem que vocês podem dizer a si mesmos : ‘ Abraão é nosso pai ’ . Pois eu lhes digo que destas pedras Deus pode fazer surgir filhos a Abraão .
59	NVI-PT	Mateus	3	10	O machado já está posto à raiz das árvores , e toda árvore que não der bom fruto será cortada e lançada ao fogo .
60	NVI-PT	Mateus	3	11	“ Eu os batizo com [ c ] água para arrependimento . Mas depois de mim vem alguém mais poderoso do que eu , tanto que não sou digno nem de levar as suas sandálias . Ele os batizará com o Espírito Santo e com fogo .
61	NVI-PT	Mateus	3	12	Ele traz a pá em sua mão e limpará sua eira , juntando seu trigo no celeiro , mas queimará a palha com fogo que nunca se apaga ” . O Batismo de Jesus ( B )
62	NVI-PT	Mateus	3	13	Então Jesus veio da Galiléia ao Jordão para ser batizado por João .
63	NVI-PT	Mateus	3	14	João , porém , tentou impedi-lo , dizendo : “ Eu preciso ser batizado por ti , e tu vens a mim ? ”
64	NVI-PT	Mateus	3	15	Respondeu Jesus : “ Deixe assim por enquanto ; convém que assim façamos , para cumprir toda a justiça ” . E João concordou .
65	NVI-PT	Mateus	3	16	Assim que Jesus foi batizado , saiu da água . Naquele momento o céu se abriu , e ele viu o Espírito de Deus descendo como pomba e pousando sobre ele .
66	NVI-PT	Mateus	3	17	Então uma voz dos céus disse : “ Este é o meu Filho amado , em quem me agrado ” . Biblia Sagrada , Nova Versão Internacional® , NVI® Copyright ©
67	NVI-PT	Mateus	3	1993	,
68	NVI-PT	Mateus	3	2000	by Biblica , Inc.® Used by permission . All rights reserved worldwide .
69	NVI-PT	Mateus	4	4	Jesus respondeu : “ Está escrito : ‘ Nem só de pão viverá o homem , mas de toda palavra que procede da boca de Deus ’ [ a ] ” .
70	NVI-PT	Mateus	4	2	Depois de jejuar quarenta dias e quarenta noites , teve fome .
71	NVI-PT	Mateus	4	3	O tentador aproximou-se dele e disse : “ Se és o Filho de Deus , manda que estas pedras se transformem em pães ” .
72	NVI-PT	Mateus	4	5	Então o Diabo o levou à cidade santa , colocou-o na parte mais alta do templo e lhe disse :
73	NVI-PT	Mateus	4	6	“ Se és o Filho de Deus , joga-te daqui para baixo . Pois está escrito : “ ‘ Ele dará ordens a seus anjos a seu respeito , e com as mãos eles o segurarão , para que você não tropece em alguma pedra ’ [ b ] ” .
74	NVI-PT	Mateus	4	7	Jesus lhe respondeu : “ Também está escrito : ‘ Não ponha à prova o Senhor , o seu Deus ’ [ c ] ” .
75	NVI-PT	Mateus	4	8	Depois , o Diabo o levou a um monte muito alto e mostrou-lhe todos os reinos do mundo e o seu esplendor .
76	NVI-PT	Mateus	4	9	E lhe disse : “ Tudo isto te darei , se te prostrares e me adorares ” .
77	NVI-PT	Mateus	4	10	Jesus lhe disse : “ Retire-se , Satanás ! Pois está escrito : ‘ Adore o Senhor , o seu Deus , e só a ele preste culto ’ [ d ] ” .
78	NVI-PT	Mateus	4	11	Então o Diabo o deixou , e anjos vieram e o serviram . Jesus Começa a Pregar ( B )
79	NVI-PT	Mateus	4	12	Quando Jesus ouviu que João tinha sido preso , voltou para a Galiléia .
80	NVI-PT	Mateus	4	13	Saindo de Nazaré , foi viver em Cafarnaum , que ficava junto ao mar , na região de Zebulom e Naftali ,
81	NVI-PT	Mateus	4	14	para cumprir o que fora dito pelo profeta Isaías :
82	NVI-PT	Mateus	4	15	“ Terra de Zebulom e terra de Naftali , caminho do mar , além do Jordão , Galiléia dos gentios [ e ] ;
83	NVI-PT	Mateus	4	16	o povo que vivia nas trevas viu uma grande luz ; sobre os que viviam na terra da sombra da morte raiou uma luz ” [ f ] .
84	NVI-PT	Mateus	4	17	Daí em diante Jesus começou a pregar : “ Arrependam-se , pois o Reino dos céus está próximo ” . Jesus Chama os Primeiros Discípulos ( C )
85	NVI-PT	Mateus	4	18	Andando à beira do mar da Galiléia , Jesus viu dois irmãos : Simão , chamado Pedro , e seu irmão André . Eles estavam lançando redes ao mar , pois eram pescadores .
86	NVI-PT	Mateus	4	19	E disse Jesus : “ Sigam-me , e eu os farei pescadores de homens ” .
87	NVI-PT	Mateus	4	20	No mesmo instante eles deixaram as suas redes e o seguiram .
88	NVI-PT	Mateus	4	21	Indo adiante , viu outros dois irmãos : Tiago , filho de Zebedeu , e João , seu irmão . Eles estavam num barco com seu pai , Zebedeu , preparando as suas redes . Jesus os chamou ,
89	NVI-PT	Mateus	4	22	e eles , deixando imediatamente seu pai e o barco , o seguiram . Jesus Ensina o Povo e Cura os Doentes
90	NVI-PT	Mateus	4	23	Jesus foi por toda a Galiléia , ensinando nas sinagogas deles , pregando as boas novas do Reino e curando todas as enfermidades e doenças entre o povo .
91	NVI-PT	Mateus	4	24	Notícias sobre ele se espalharam por toda a Síria , e o povo lhe trouxe todos os que estavam padecendo vários males e tormentos : endemoninhados , epiléticos [ g ] e paralíticos ; e ele os curou .
92	NVI-PT	Mateus	4	25	Grandes multidões o seguiam , vindas da Galiléia , Decápolis , Jerusalém , Judéia e da região do outro lado do Jordão . Biblia Sagrada , Nova Versão Internacional® , NVI® Copyright ©
93	NVI-PT	Mateus	4	1993	,
94	NVI-PT	Mateus	4	2000	by Biblica , Inc.® Used by permission . All rights reserved worldwide .
95	NVI-PT	Mateus	5	5	Bem-aventurados os humildes , pois eles receberão a terra por herança .
96	NVI-PT	Mateus	5	2	e ele começou a ensiná-los , dizendo :
97	NVI-PT	Mateus	5	3	“ Bem-aventurados [ a ] os pobres em espírito , pois deles é o Reino dos céus .
98	NVI-PT	Mateus	5	4	a
99	NVI-PT	Mateus	5	6	Bem-aventurados os que têm fome e sede de justiça , pois serão satisfeitos .
100	NVI-PT	Mateus	5	7	Bem-aventurados os misericordiosos , pois obterão misericórdia .
101	NVI-PT	Mateus	5	8	Bem-aventurados os puros de coração , pois verão a Deus .
102	NVI-PT	Mateus	5	9	Bem-aventurados os pacificadores , pois serão chamados filhos de Deus .
103	NVI-PT	Mateus	5	10	Bem-aventurados os perseguidos por causa da justiça , pois deles é o Reino dos céus .
104	NVI-PT	Mateus	5	11	. - 5.21 Êx 20.13 ; Dt 5.17 - 5.22 Alguns manuscritos acrescentam sem motivo . - 5.22 Termo aramaico de desprezo , equivalente a tolo . - 5.26 Grego : quadrante . - 5.27 Êx 20.14 ; Dt 5.18 - 5.31 Dt 24.1 - 5.32 Grego : pornéia ; termo genérico que se refere a práticas sexuais ilícitas . - 5.33 Lv 19.12 ; Nm 30.2 - 5.38 Êx 21.24 ; Lv 24.20 ; Dt 19.21 - 5.41 A milha romana tinha cerca de 1.500 metros . - 5.43 Lv 19.18 - 5.44 Alguns manuscritos acrescentam abençoem os que os amaldiçoam , façam o bem aos que os odeiam - 5.46 Os publicanos eram coletores de impostos , malvistos pelo povo ; também em 9.10,11 ; 10.3 ; 11.19 ; 18.17 ; 21.31 e
105	NVI-PT	Mateus	5	12	Alegrem-se e regozijem-se , porque grande é a sua recompensa nos céus , pois da mesma forma perseguiram os profetas que viveram antes de vocês . O Sal da Terra e a Luz do Mundo
106	NVI-PT	Mateus	5	13	“ Vocês são o sal da terra . Mas se o sal perder o seu sabor , como restaurá-lo ? Não servirá para nada , exceto para ser jogado fora e pisado pelos homens .
107	NVI-PT	Mateus	5	14	“ Vocês são a luz do mundo . Não se pode esconder uma cidade construída sobre um monte .
108	NVI-PT	Mateus	5	15	E , também , ninguém acende uma candeia e a coloca debaixo de uma vasilha . Ao contrário , coloca-a no lugar apropriado , e assim ilumina a todos os que estão na casa .
109	NVI-PT	Mateus	5	16	Assim brilhe a luz de vocês diante dos homens , para que vejam as suas boas obras e glorifiquem ao Pai de vocês , que está nos céus . Jesus Cumpre a Lei
110	NVI-PT	Mateus	5	17	“ Não pensem que vim abolir a Lei ou os Profetas ; não vim abolir , mas cumprir .
111	NVI-PT	Mateus	5	18	Digo-lhes a verdade : Enquanto existirem céus e terra , de forma alguma desaparecerá da Lei a menor letra ou o menor traço , até que tudo se cumpra .
112	NVI-PT	Mateus	5	19	Todo aquele que desobedecer a um desses mandamentos , ainda que dos menores , e ensinar os outros a fazerem o mesmo , será chamado menor no Reino dos céus ; mas todo aquele que praticar e ensinar estes mandamentos será chamado grande no Reino dos céus .
113	NVI-PT	Mateus	5	20	Pois eu lhes digo que se a justiça de vocês não for muito superior à dos fariseus e mestres da lei , de modo nenhum entrarão no Reino dos céus . O Homicídio
114	NVI-PT	Mateus	5	21	“ Vocês ouviram o que foi dito aos seus antepassados : ‘ Não matarás ’ [ b ] , e ‘ quem matar estará sujeito a julgamento ’ .
115	NVI-PT	Mateus	5	22	Mas eu lhes digo que qualquer que se irar contra seu irmão [ c ] estará sujeito a julgamento . Também , qualquer que disser a seu irmão : ‘ Racá [ d ] ’ , será levado ao tribunal . E qualquer que disser : ‘ Louco ! ’ , corre o risco de ir para o fogo do inferno .
116	NVI-PT	Mateus	5	23	“ Portanto , se você estiver apresentando sua oferta diante do altar e ali se lembrar de que seu irmão tem algo contra você ,
117	NVI-PT	Mateus	5	24	deixe sua oferta ali , diante do altar , e vá primeiro reconciliar-se com seu irmão ; depois volte e apresente sua oferta .
118	NVI-PT	Mateus	5	25	“ Entre em acordo depressa com seu adversário que pretende levá-lo ao tribunal . Faça isso enquanto ainda estiver com ele a caminho , pois , caso contrário , ele poderá entregá-lo ao juiz , e o juiz ao guarda , e você poderá ser jogado na prisão .
119	NVI-PT	Mateus	5	26	Eu lhe garanto que você não sairá de lá enquanto não pagar o último centavo [ e ] . O Adultério
120	NVI-PT	Mateus	5	27	“ Vocês ouviram o que foi dito : ‘ Não adulterarás ’ [ f ] .
121	NVI-PT	Mateus	5	28	Mas eu lhes digo : Qualquer que olhar para uma mulher para desejá-la , já cometeu adultério com ela no seu coração .
122	NVI-PT	Mateus	5	29	Se o seu olho direito o fizer pecar , arranque-o e lance-o fora . É melhor perder uma parte do seu corpo do que ser todo ele lançado no inferno .
123	NVI-PT	Mateus	5	30	E se a sua mão direita o fizer pecar , corte-a e lance-a fora . É melhor perder uma parte do seu corpo do que ir todo ele para o inferno . O Divórcio
124	NVI-PT	Mateus	5	31	“ Foi dito : ‘ Aquele que se divorciar de sua mulher deverá dar-lhe certidão de divórcio ’ [ g ] .
125	NVI-PT	Mateus	5	32	. Biblia Sagrada , Nova Versão Internacional® , NVI® Copyright ©
126	NVI-PT	Mateus	5	33	“ Vocês também ouviram o que foi dito aos seus antepassados : ‘ Não jure falsamente [ i ] , mas cumpra os juramentos que você fez diante do Senhor ’ .
127	NVI-PT	Mateus	5	34	Mas eu lhes digo : Não jurem de forma alguma : nem pelos céus , porque é o trono de Deus ;
128	NVI-PT	Mateus	5	35	nem pela terra , porque é o estrado de seus pés ; nem por Jerusalém , porque é a cidade do grande Rei .
129	NVI-PT	Mateus	5	36	E não jure pela sua cabeça , pois você não pode tornar branco ou preto nem um fio de cabelo .
130	NVI-PT	Mateus	5	37	Seja o seu ‘ sim ’ , ‘ sim ’ , e o seu ‘ não ’ , ‘ não ’ ; o que passar disso vem do Maligno . A Vingança ( B )
131	NVI-PT	Mateus	5	38	“ Vocês ouviram o que foi dito : ‘ Olho por olho e dente por dente ’ [ j ] .
132	NVI-PT	Mateus	5	39	Mas eu lhes digo : Não resistam ao perverso . Se alguém o ferir na face direita , ofereça-lhe também a outra .
