	estilo	livro	capitulo	versiculo	texto
0	NVT	Mateus	1	1	Este é o registro dos antepassados de Jesus Cristo , [ a ] descendente de Davi e de Abraão : [ b ]
1	NVT	Mateus	1	2	Abraão gerou Isaque . Isaque gerou Jacó . Jacó gerou Judá e seus irmãos .
2	NVT	Mateus	1	3	Judá gerou Perez e Zerá , cuja mãe foi Tamar . Perez gerou Esrom . Esrom gerou Rão . [ c ]
3	NVT	Mateus	1	4	Rão gerou Aminadabe . Aminadabe gerou Naassom . Naassom gerou Salmom .
4	NVT	Mateus	1	5	Salmom gerou Boaz , cuja mãe foi Raabe . Boaz gerou Obede , cuja mãe foi Rute . Obede gerou Jessé .
5	NVT	Mateus	1	6	Jessé gerou o rei Davi . Davi gerou Salomão , cuja mãe foi Bate-Seba , viúva de Urias .
6	NVT	Mateus	1	7	Salomão gerou Roboão . Roboão gerou Abias . Abias gerou Asa . [ d ]
7	NVT	Mateus	1	8	Asa gerou Josafá . Josafá gerou Jeorão . [ e ] Jeorão gerou Uzias .
8	NVT	Mateus	1	9	Uzias gerou Jotão . Jotão gerou Acaz . Acaz gerou Ezequias .
9	NVT	Mateus	1	10	Ezequias gerou Manassés . Manassés gerou Amom . [ f ] Amom gerou Josias .
10	NVT	Mateus	1	11	Josias gerou Joaquim [ g ] e seus irmãos , nascidos no tempo do exílio na Babilônia .
11	NVT	Mateus	1	12	Depois do exílio na Babilônia : Joaquim gerou Salatiel . Salatiel gerou Zorobabel .
12	NVT	Mateus	1	13	Zorobabel gerou Abiúde . Abiúde gerou Eliaquim . Eliaquim gerou Azor .
13	NVT	Mateus	1	14	Azor gerou Sadoque . Sadoque gerou Aquim . Aquim gerou Eliúde .
14	NVT	Mateus	1	15	Eliúde gerou Eleazar . Eleazar gerou Matã . Matã gerou Jacó .
15	NVT	Mateus	1	16	Jacó gerou José , marido de Maria . Maria deu à luz Jesus , que é chamado Cristo .
16	NVT	Mateus	1	17	Portanto , são catorze gerações de Abraão até Davi , catorze de Davi até o exílio na Babilônia e catorze do exílio na Babilônia até Cristo . O nascimento de Jesus Cristo
17	NVT	Mateus	1	18	Foi assim que nasceu Jesus Cristo . Maria , sua mãe , estava prometida para se casar com José . Antes do casamento , porém , ela engravidou pelo poder do Espírito Santo .
18	NVT	Mateus	1	19	José , seu noivo , era um homem justo e resolveu romper a união em segredo , pois não queria envergonhá-la com uma separação pública .
19	NVT	Mateus	1	20	Enquanto ele pensava nisso , um anjo do Senhor lhe apareceu em sonho e disse : “ José , filho de Davi , não tenha medo de receber Maria como esposa , pois a criança dentro dela foi concebida pelo Espírito Santo .
20	NVT	Mateus	1	21	Ela terá um filho , e você lhe dará o nome de Jesus , [ h ] pois ele salvará seu povo dos seus pecados ” .
21	NVT	Mateus	1	22	Tudo isso aconteceu para cumprir o que o Senhor tinha dito por meio do profeta :
22	NVT	Mateus	1	23	“ Vejam ! A virgem ficará grávida ! Ela dará à luz um filho , e o chamarão Emanuel , [ i ] que significa ‘ Deus conosco ’ ” .
23	NVT	Mateus	1	24	Quando José acordou , fez o que o anjo do Senhor lhe havia ordenado e recebeu Maria como esposa .
24	NVT	Mateus	1	25	No entanto , não teve relações com ela até o menino nascer ; e ele lhe deu o nome de Jesus . Footnotes - 1.1a Ou Messias . Tanto Messias ( do hebraico ) como Cristo ( do grego ) significam “ ungido ” . - 1.1b Em grego , filho de Davi e filho de Abraão . - 1.3 Em grego , Arão , variação de Rão ; também em 1.4 . Ver 1Cr 2.9-10 . - 1.7 Em grego , Asafe , variação de Asa ; também em 1.8 . Ver 1Cr 3.10 . - 1.8 Em grego , Jorão , variação de Jeorão ; também em 1.8b . Ver 1Rs 22.50 e nota em 1Cr 3.11 . - 1.10 Em grego , Amós , variação de Amom ; também em 1.10b . Ver 1Cr 3.14 . - 1.11 Em grego , Jeconias , variação de Joaquim ; também em 1.12 . Ver 2Rs 24.6 e nota em 1Cr 3.16 . - 1.21 Jesus significa “ O Senhor salva ” . - 1.23 Is 7.14 ; 8.8,10 , conforme a Septuaginta . BÍBLIA SAGRADA , NOVA VERSÃO TRANSFORMADORA copyright ©
25	NVT	Mateus	1	2016	by Mundo Cristão . Used by permission of Associação Religiosa Editora Mundo Cristão , Todos os direitos reservados .
26	NVT	Mateus	2	2	e perguntaram : “ Onde está o recém-nascido rei dos judeus ? Vimos sua estrela no Oriente e viemos adorá-lo ” .
27	NVT	Mateus	2	3	Ao ouvir isso , o rei Herodes ficou perturbado , e com ele todo o povo de Jerusalém .
28	NVT	Mateus	2	4	Reuniu os principais sacerdotes e os mestres da lei e lhes perguntou : “ Onde nascerá o Cristo ? ” .
29	NVT	Mateus	2	5	Eles responderam : “ Em Belém da Judeia , pois assim escreveu o profeta :
30	NVT	Mateus	2	6	‘ E você , Belém , na terra de Judá , não é a menor entre as principais cidades [ b ] de Judá , pois de você virá um governante que será o pastor do meu povo , Israel ’ ” . [ c ]
31	NVT	Mateus	2	7	Então Herodes convocou os sábios em segredo e soube por eles o momento em que a estrela tinha aparecido .
32	NVT	Mateus	2	8	“ Vão a Belém e procurem o menino com atenção ” , disse ele . “ Quando o encontrarem , voltem e digam-me , para que eu vá e também o adore. ”
33	NVT	Mateus	2	9	Após a conversa com o rei , os sábios seguiram seu caminho , guiados pela estrela que tinham visto no Oriente . Ela ia adiante deles , até que parou acima do lugar onde o menino estava .
34	NVT	Mateus	2	10	Quando viram a estrela , ficaram muito alegres .
35	NVT	Mateus	2	11	Ao entrar na casa , viram o menino com Maria , sua mãe , e se prostraram e o adoraram . Então abriram seus tesouros e o presentearam com ouro , incenso e mirra .
36	NVT	Mateus	2	12	Quando chegou a hora de partir , retornaram para sua terra por outro caminho , pois haviam sido avisados em sonho para não voltar a Herodes . A fuga para o Egito
37	NVT	Mateus	2	13	Depois que os sábios partiram , um anjo do Senhor apareceu a José em sonho . “ Levante-se ” , disse o anjo . “ Fuja para o Egito com o menino e sua mãe . Fique lá até eu lhe dizer que volte , pois Herodes vai procurar o menino a fim de matá-lo. ”
38	NVT	Mateus	2	14	Naquela mesma noite , José se levantou e partiu com o menino e Maria , sua mãe , para o Egito ,
39	NVT	Mateus	2	15	onde ficaram até a morte de Herodes . Cumpriu-se , assim , o que o Senhor tinha dito por meio do profeta : “ Do Egito chamei meu filho ” . [ d ]
40	NVT	Mateus	2	16	Quando Herodes se deu conta de que os sábios o haviam enganado , ficou furioso . Enviou soldados para matar todos os meninos de dois anos para baixo em Belém e seus arredores , tomando por base o relato dos sábios acerca da primeira aparição da estrela .
41	NVT	Mateus	2	17	Com isso , cumpriu-se o que foi dito por meio do profeta Jeremias :
42	NVT	Mateus	2	18	“ Ouviu-se um clamor em Ramá , choro e grande lamentação . Raquel chora por seus filhos e se recusa a ser consolada , pois eles já não existem ” . [ e ] A volta para Israel
43	NVT	Mateus	2	19	Quando Herodes morreu , um anjo do Senhor apareceu em sonho a José , no Egito .
44	NVT	Mateus	2	20	“ Levante-se ” , disse o anjo . “ Leve o menino e a mãe de volta para a terra de Israel , pois já morreram os que tentavam matar o menino. ”
45	NVT	Mateus	2	21	Então José se levantou e se preparou para voltar à terra de Israel com o menino e sua mãe .
46	NVT	Mateus	2	22	Soube , porém , que o novo governador da Judeia era Arquelau , filho de Herodes , e teve medo de ir para lá . Depois de ser avisado em sonho , partiu para a região da Galileia .
47	NVT	Mateus	2	23	A família foi morar numa cidade chamada Nazaré , cumprindo-se , desse modo , o que os profetas haviam dito , que Jesus seria chamado nazareno . BÍBLIA SAGRADA , NOVA VERSÃO TRANSFORMADORA copyright ©
48	NVT	Mateus	2	2016	by Mundo Cristão . Used by permission of Associação Religiosa Editora Mundo Cristão , Todos os direitos reservados .
49	NVT	Mateus	3	3	O profeta Isaías se referia a João quando disse : “ Ele é uma voz que clama no deserto : ‘ Preparem o caminho para a vinda do Senhor ! [ b ] Abram a estrada para ele ! ’ ” . [ c ]
50	NVT	Mateus	3	2	“ Arrependam-se , pois o reino dos céus está próximo ” . [ a ]
51	NVT	Mateus	3	4	As roupas de João eram tecidas com pelos de camelo , e ele usava um cinto de couro e alimentava-se de gafanhotos e mel silvestre .
52	NVT	Mateus	3	5	Gente de Jerusalém , de toda a Judeia e de todo o vale do Jordão ia até ele .
53	NVT	Mateus	3	6	Quando confessavam seus pecados , ele os batizava no rio Jordão .
54	NVT	Mateus	3	7	Mas , quando João viu que muitos fariseus e saduceus vinham ao lugar de batismo , ele os repreendeu abertamente . “ Raça de víboras ! ” , exclamou . “ Quem os convenceu a fugir da ira que está por vir ?
55	NVT	Mateus	3	8	Provem por suas ações que vocês se arrependeram .
56	NVT	Mateus	3	9	Não pensem que podem dizer uns aos outros : ‘ Estamos a salvo , pois somos filhos de Abraão ’ . Isso não significa nada , pois eu lhes digo que até destas pedras Deus pode fazer surgir filhos de Abraão .
57	NVT	Mateus	3	10	Agora mesmo o machado do julgamento está pronto para cortar as raízes das árvores . Toda árvore que não produz bons frutos será cortada e lançada ao fogo .
58	NVT	Mateus	3	11	“ Eu batizo com [ d ] água aqueles que se arrependem . Depois de mim , porém , virá alguém mais poderoso que eu , alguém muito superior , cujas sandálias não sou digno de carregar . Ele os batizará com o Espírito Santo e com fogo . [ e ]
59	NVT	Mateus	3	12	Ele já tem na mão a pá , e com ela separará a palha do trigo e limpará a área onde os cereais são debulhados . Juntará o trigo no celeiro , mas queimará a palha no fogo que nunca se apaga. ” O batismo de Jesus
60	NVT	Mateus	3	13	Jesus foi da Galileia ao rio Jordão para que João o batizasse .
