	estilo	livro	capitulo	versiculo	texto
0	NVT	Gênesis	1	1	No princípio , Deus criou os céus e a terra . [ a ]
1	NVT	Gênesis	1	2	A terra era sem forma e vazia , a escuridão cobria as águas profundas , e o Espírito de Deus se movia sobre a superfície das águas .
2	NVT	Gênesis	1	3	Então Deus disse : “ Haja luz ” , e houve luz .
3	NVT	Gênesis	1	4	E Deus viu que a luz era boa , e separou a luz da escuridão .
4	NVT	Gênesis	1	5	Deus chamou a luz de “ dia ” e a escuridão de “ noite ” . A noite passou e veio a manhã , encerrando o primeiro dia .
5	NVT	Gênesis	1	6	Então Deus disse : “ Haja um espaço entre as águas , para separar as águas dos céus das águas da terra ” .
6	NVT	Gênesis	1	7	E assim aconteceu . Deus criou um espaço para separar as águas da terra das águas dos céus .
7	NVT	Gênesis	1	8	Deus chamou o espaço de “ céu ” . A noite passou e veio a manhã , encerrando o segundo dia .
8	NVT	Gênesis	1	9	Então Deus disse : “ Juntem-se as águas que estão debaixo do céu num só lugar , para que apareça uma parte seca ” . E assim aconteceu .
9	NVT	Gênesis	1	10	Deus chamou a parte seca de “ terra ” e as águas de “ mares ” . E Deus viu que isso era bom .
10	NVT	Gênesis	1	11	Então Deus disse : “ Produza a terra vegetação : toda espécie de plantas com sementes e árvores que dão frutos com sementes . As sementes produzirão plantas e árvores , cada uma conforme a sua espécie ” . E assim aconteceu .
11	NVT	Gênesis	1	12	A terra produziu vegetação : toda espécie de plantas com sementes e árvores que dão frutos com sementes . As sementes produziram plantas e árvores , cada uma conforme a sua espécie . E Deus viu que isso era bom .
12	NVT	Gênesis	1	13	A noite passou e veio a manhã , encerrando o terceiro dia .
13	NVT	Gênesis	1	14	Então Deus disse : “ Haja luzes no céu para separar o dia da noite e marcar as estações , os dias e os anos .
14	NVT	Gênesis	1	15	Que essas luzes brilhem no céu para iluminar a terra ” . E assim aconteceu .
15	NVT	Gênesis	1	16	Deus criou duas grandes luzes : a maior para governar o dia e a menor para governar a noite , e criou também as estrelas .
16	NVT	Gênesis	1	17	Deus colocou essas luzes no céu para iluminar a terra ,
17	NVT	Gênesis	1	18	para governar o dia e a noite e para separar a luz da escuridão . E Deus viu que isso era bom .
18	NVT	Gênesis	1	19	A noite passou e veio a manhã , encerrando o quarto dia .
19	NVT	Gênesis	1	20	Então Deus disse : “ Encham-se as águas de seres vivos , e voem as aves no céu acima da terra ” .
20	NVT	Gênesis	1	21	Assim , Deus criou os grandes animais marinhos e todos os seres vivos que se movem em grande número pelas águas , bem como uma grande variedade de aves , cada um conforme a sua espécie . E Deus viu que isso era bom .
21	NVT	Gênesis	1	22	Então Deus os abençoou : “ Sejam férteis e multipliquem-se . Que os seres encham os mares e as aves se multipliquem na terra ” .
22	NVT	Gênesis	1	23	A noite passou e veio a manhã , encerrando o quinto dia .
23	NVT	Gênesis	1	24	Então Deus disse : “ Produza a terra grande variedade de animais , cada um conforme a sua espécie : animais domésticos , animais que rastejam pelo chão e animais selvagens ” . E assim aconteceu .
24	NVT	Gênesis	1	25	Deus criou grande variedade de animais selvagens , animais domésticos e animais que rastejam pelo chão , cada um conforme a sua espécie . E Deus viu que isso era bom .
