	estilo	livro	capitulo	versiculo	texto
0	OL	Mateus	1	1	São estes os antepassados de Jesus Cristo , descendente do rei David e de Abraão .
1	OL	Mateus	1	2	Os descendentes de Abraão foram sucessivamente Isaque , Jacob , Judá e os seus irmãos .
2	OL	Mateus	1	3	Judá foi pai de Perez e de Zera . Tamar foi a mãe de ambos . Depois de Perez vieram Hezrom , Rão ,
3	OL	Mateus	1	4	Aminadabe , Nassom , Salmom ,
4	OL	Mateus	1	5	Boaz , cuja mãe foi Raabe , Obede , que teve por mãe Rute ,
5	OL	Mateus	1	6	Jessé e o rei David . Os descendentes de David foram Salomão , cuja mãe tinha sido mulher de Urias ,
6	OL	Mateus	1	7	Roboão , Abias , Asa ,
7	OL	Mateus	1	8	Jeosafá , Jorão , Uzias ,
8	OL	Mateus	1	9	Jotão , Acaz , Ezequias ,
9	OL	Mateus	1	10	Manassés , Amom , Josias ,
10	OL	Mateus	1	11	Jeconias e seus irmãos , que nasceram quando os judeus foram deportados para a Babilónia .
11	OL	Mateus	1	12	Depois desse exílio , a linha de descendência continuou sucessivamente com Jeconias , Sealtiel , Zorobabel ,
12	OL	Mateus	1	13	Abiude , Eliaquim , Azor ,
13	OL	Mateus	1	14	Zadoque , Aquim , Eliude ,
14	OL	Mateus	1	15	Eleazar , Matã , Jacob
15	OL	Mateus	1	16	e por fim José , marido de Maria , mãe de Jesus , chamado Cristo .
16	OL	Mateus	1	17	São catorze gerações desde Abraão até ao rei David ; catorze desde o tempo do rei David até ao exílio na Babilónia ; e catorze do exílio até Cristo . O nascimento de Jesus
17	OL	Mateus	1	18	Eis o que se passou antes do nascimento de Jesus Cristo . Maria , sua mãe , estava noiva de José mas , embora fosse virgem , ficou grávida pelo Espírito Santo .
18	OL	Mateus	1	19	José , o seu noivo , homem justo , decidiu pôr termo à promessa de casamento , querendo porém fazê-lo de modo que ela não ficasse com má fama entre o povo .
19	OL	Mateus	1	20	Estando ele a pensar no caso , teve um sonho em que viu um anjo de pé , ao seu lado , que lhe dizia : “ José , filho de David , não tenhas medo de aceitar Maria como tua mulher ! A criança que ela traz no ventre foi gerada pelo Espírito Santo .
20	OL	Mateus	1	21	Ela terá um filho a quem porás o nome de Jesus , porque ele salvará o seu povo dos seus pecados. ”
21	OL	Mateus	1	22	Assim se cumpriu a mensagem de Deus através dos seus profetas :
22	OL	Mateus	1	23	“ A virgem ficará grávida e dará à luz um filho , e pôr-lhe-ão o nome de Emanuel. ” [ a ] Emanuel quer dizer : Deus está connosco .
23	OL	Mateus	1	24	Quando acordou , José fez o que o anjo lhe mandara e levou Maria para casa como sua mulher .
24	OL	Mateus	1	25	Mas ela continuou virgem até nascer o seu filho . José pôs-lhe o nome de Jesus . O Livro Copyright ©
25	OL	Mateus	1	2000	by Biblica , Inc.® Used by permission . All rights reserved worldwide .
26	OL	Mateus	2	2	que inquiriram : “ Onde está o rei dos judeus que acaba de nascer ? Pois vimos a sua estrela lá no Oriente e viemos para o adorar. ”
27	OL	Mateus	2	3	O rei Herodes ficou muito preocupado ao ouvir isto e toda a cidade de Jerusalém também .
28	OL	Mateus	2	4	Então o rei mandou reunir os principais sacerdotes judaicos e os especialistas na Lei [ a ] e perguntou-lhes onde haveria de nascer o Cristo .
29	OL	Mateus	2	5	“ Em Belém ” , responderam-lhe , “ pois o profeta Miqueias escreveu o seguinte :
30	OL	Mateus	2	6	‘ Tu , Belém , na terra de Judá , não és de forma alguma a menor entre as localidades principais de Judá ; porque sairá de ti um governador para conduzir o meu povo de Israel. ’ ” [ b ]
31	OL	Mateus	2	7	Então Herodes enviou um recado secreto àqueles sábios do Oriente , pedindo que lhe fossem falar ; e soube pela boca deles a altura exata em que tinham visto a estrela pela primeira vez .
