	estilo	livro	capitulo	versiculo	texto
0	OL	Gênesis	1	1	No princípio Deus criou o céu e a Terra .
1	OL	Gênesis	1	2	Esta era de início um caos e como uma massa amorfa , com o Espírito de Deus planando sobre os vapores que enchiam as trevas .
2	OL	Gênesis	1	3	Então Deus disse : “ Haja luz ! ” E a luz apareceu .
3	OL	Gênesis	1	4	Deus viu que a luz era boa e demarcou o aparecimento da luz em relação à escuridão .
4	OL	Gênesis	1	5	Ao tempo durante o qual a luz brilhou chamou dia e à escuridão chamou noite . Essa sequência formou o primeiro dia .
5	OL	Gênesis	1	6	E Deus disse : “ Que os vapores se separem , deixando que haja uma atmosfera acima da terra e águas na sua superfície ! ”
6	OL	Gênesis	1	7	Foi assim que Deus formou o firmamento e separou as águas que estão na Terra das que se encontram na atmosfera .
7	OL	Gênesis	1	8	E Deus chamou a este firmamento céu . Foi a tarde e veio a manhã , era o segundo dia .
8	OL	Gênesis	1	9	E disse mais : “ Que as águas à superfície da Terra se juntem , formando mares e oceanos , deixando aparecer a parte seca ! ” E assim foi .
9	OL	Gênesis	1	10	A essa parte seca emergindo entre as águas chamou-lhe terra e às águas mar . E Deus viu que isso era bom . 11-12 Disse Deus : “ Que a terra produza toda a espécie de vegetação ! Plantas que deem sementes , árvores que produzam frutos , frutos que contenham em si mesmos as sementes de acordo com a espécie donde vêm. ” E assim foi . E Deus viu que tudo isso era bom .
10	OL	Gênesis	1	13	Estas coisas deram-se ao terceiro dia .
11	OL	Gênesis	1	14	Deus disse ainda : “ Que no firmamento haja fontes de luz que iluminem a Terra e demarquem o dia e a noite ! Servirão também para estabelecer a sucessão das estações e a sequência dos dias e dos anos. ” 15-18 E assim aconteceu . Deus fez pois duas grandes fontes de luz : o Sol e a Lua para iluminarem a Terra . O Sol , maior , para dirigir o dia , e a Lua , mais pequena , para brilhar durante a noite . Deus fez também as estrelas . Foi assim que fixou essas fontes de luz no firmamento , para iluminarem a Terra , para determinarem os dias e as noites , para separarem a luz das trevas . E Deus viu que isso era bom .
12	OL	Gênesis	1	19	Isto deu-se no quarto dia .
13	OL	Gênesis	1	20	E disse mais : “ Que as águas se encham de peixes e de várias espécies de vida ! Que os céus também sejam atravessados por aves de toda a espécie ! ”
14	OL	Gênesis	1	21	Foi assim que Deus criou os grandes animais marinhos e toda a qualidade de vida aquática , tal como toda a sorte de pássaros , os quais se haviam de reproduzir sempre segundo as suas espécies . E Deus viu que isso era bom .
15	OL	Gênesis	1	22	E abençoou-os : “ Multipliquem-se e encham os mares e as águas ! ” E aos pássaros e animais alados ordenou : “ Que o vosso número aumente multiplicadamente , encham a Terra ! ”
16	OL	Gênesis	1	23	E aconteceu isto no quinto dia .
17	OL	Gênesis	1	24	Deus disse : “ Que na terra apareça toda a qualidade de vida animal ! Quadrúpedes , rastejantes , animais selvagens de toda a sorte , reproduzindo-se de acordo com a sua espécie. ” E assim aconteceu .
18	OL	Gênesis	1	25	Deus fez toda a qualidade de animais sobre a terra ; cada um segundo a sua espécie . E viu que tudo quanto tinha feito era bom .
19	OL	Gênesis	1	26	Disse mais Deus : “ Façamos o homem , um ser semelhante a nós ! Que ele domine sobre os peixes do mar e as aves do céu , sobre os animais domésticos e selvagens e sobre todas as criaturas que andam sobre a terra ! ”
20	OL	Gênesis	1	27	Deus criou então o homem à sua imagem ; assim à imagem de Deus o criou . Homem e mulher , assim os criou .
21	OL	Gênesis	1	28	Deus abençoou-os e disse-lhes : “ Multipliquem-se , encham a Terra , dominem-na e também toda a vida animal da terra , dos mares e dos ares !
22	OL	Gênesis	1	29	Dou-vos todas as plantas que produzem sementes e toda a espécie de frutos para alimento .
23	OL	Gênesis	1	30	A todos os animais dou igualmente como alimento a vida vegetal. ” E foi assim que aconteceu .
24	OL	Gênesis	1	31	Deus viu que tudo quanto tinha feito era muito bom . Assim , passou o sexto dia . O Livro Copyright ©
25	OL	Gênesis	1	2000	by Biblica , Inc.® Used by permission . All rights reserved worldwide .
26	OL	Gênesis	2	2	No sétimo dia , Deus tinha completado a sua obra e nesse sétimo dia Deus descansou de toda a obra que tinha vindo a fazer .
27	OL	Gênesis	2	3	Deus abençoou o sétimo dia e declarou que esse dia seria santo , pois foi quando repousou de toda a sua obra da criação . Adão e Eva
28	OL	Gênesis	2	4	Esta é a história da criação , quando o Senhor Deus fez os céus e a Terra .
29	OL	Gênesis	2	5	Ainda não havia vegetação , nem semente que desabrochasse da terra , porque o Senhor Deus ainda não mandara chuva , nem tão-pouco havia seres humanos que cultivassem a terra .
30	OL	Gênesis	2	6	Contudo , subia uma nascente de água da terra que irrigava o solo .
31	OL	Gênesis	2	7	Então o Senhor Deus formou o corpo do homem com o pó da terra e insuflou nele um sopro de vida ; e o homem tornou-se um ser vivo .
32	OL	Gênesis	2	8	Plantou também o Senhor Deus um jardim , no Éden , para os lados do oriente ; e colocou nesse jardim o homem que tinha criado .
33	OL	Gênesis	2	9	Fez brotar daquela terra toda a espécie de belas árvores que davam belíssimos frutos . No centro do jardim estava a árvore da vida , assim como também a árvore da consciência , que dá a conhecer o bem e o mal .
34	OL	Gênesis	2	10	Havia ali um rio que nascia no Éden e que atravessava o jardim para o regar , separando-se depois em quatro braços .
35	OL	Gênesis	2	11	Um destes era o Pisom , que atravessa toda a terra de Havila , onde há ouro .
36	OL	Gênesis	2	12	O ouro dessa terra é de fina qualidade , assim como pedras preciosas , como o bdélio e a pedra de ónix .
37	OL	Gênesis	2	13	O segundo braço do rio é chamado Giom e percorre a terra de Cuche .
38	OL	Gênesis	2	14	O terceiro é o Tigre , que corre para oriente da Assíria . O quarto é o Eufrates .
39	OL	Gênesis	2	15	O Senhor Deus pôs o homem no jardim do Éden para que o guardasse , cultivasse e cuidasse dele .
40	OL	Gênesis	2	16	E deu-lhe o seguinte aviso : “ Podes comer de toda a árvore que está no jardim ,
41	OL	Gênesis	2	17	exceto da árvore da consciência ; porque o seu fruto é o do conhecimento do bem e do mal . Se comeres desse fruto , ficas condenado a morrer. ”
42	OL	Gênesis	2	18	O Senhor Deus achou que não era bom que o homem vivesse sozinho e decidiu arranjar-lhe uma companheira que vivesse com ele . 19-20 O Senhor Deus modelou também , com a terra , toda a espécie de animais e de aves e trouxe-os ao homem para ver como lhes chamaria . E pelo nome que lhes deu , ficaram a ser chamados . Contudo , para si próprio o homem não encontrou uma companheira que lhe conviesse .
43	OL	Gênesis	2	21	Então o Senhor Deus fez o homem cair num profundo sono ; tomou-lhe um dos lados e tornou a fechar a carne nesse lugar .
44	OL	Gênesis	2	22	Dessa costela o Senhor Deus fez uma mulher e trouxe-a ao homem .
45	OL	Gênesis	2	23	“ Esta sim ! ” , exclamou Adão . “ Esta é parte dos meus ossos e da minha carne . O seu nome será mulher . Pois foi tirada do homem ! ” [ a ]
46	OL	Gênesis	2	24	Assim , o homem deve deixar o pai e a sua mãe , para se unir com a sua mulher , e serão os dois como um só .
47	OL	Gênesis	2	25	Ora acontecia que ambos , o homem e a mulher , estavam nus ; mas nenhum deles se sentia envergonhado com isso . Footnotes - 2.23 A palavra mulher , em hebraico , é ichá , que é a forma feminina de ich , a palavra para homem . O Livro Copyright ©
48	OL	Gênesis	2	2000	by Biblica , Inc.® Used by permission . All rights reserved worldwide .
49	OL	Gênesis	3	3	Só da árvore que está no meio é que não devemos comer . Dessa é que Deus disse que não devíamos comer e nem sequer tocar-lhe , senão morreríamos. ”
50	OL	Gênesis	3	2	“ Não . Nós podemos comer do fruto de todas as árvores do jardim .
51	OL	Gênesis	3	4	“ Não morrem nada ! ” , retorquiu-lhe a serpente .
52	OL	Gênesis	3	5	“ Deus sabe muito bem que no mesmo instante em que comerem esse fruto os vossos olhos abrir-se-ão e , tal como Deus , serão capazes de distinguir o bem do mal ! ”
53	OL	Gênesis	3	6	A mulher vendo que a árvore era agradável , que o fruto era bom para alimento , belo , fresco e apetecível , e que ainda por cima lhe daria entendimento , chegou-se , apanhou do fruto , começou a comer e ofereceu ao marido que com ela estava , e ele também comeu .
54	OL	Gênesis	3	7	Enquanto comiam , começaram a dar-se conta de que estavam nus , e não se sentiam à vontade . Foram então arrancar folhas de figueira que coseram para se cobrirem à volta da cintura .
55	OL	Gênesis	3	8	Ao cair a tarde daquele dia ouviram o Senhor Deus a passar através do jardim . Então esconderam-se por entre o arvoredo .
56	OL	Gênesis	3	9	O Senhor Deus chamou por Adão : “ Onde estás ? ”
57	OL	Gênesis	3	10	“ Ouvi-te a passar pelo jardim ” , respondeu Adão , “ e não quis que me visses nu . Então escondi-me. ”
58	OL	Gênesis	3	11	“ Mas quem te mostrou que estavas nu ? Comeste do fruto daquela árvore sobre a qual te avisei ? ”
59	OL	Gênesis	3	12	Ele respondeu : “ A mulher que me deste por companheira é que me deu do fruto dessa árvore e eu comi. ”
60	OL	Gênesis	3	13	O Senhor Deus perguntou à mulher : “ Porque é que fizeste isso ? ” “ Foi a serpente que me enganou. ”
61	OL	Gênesis	3	14	O Senhor Deus dirigiu-se pois à serpente : “ Este é o teu castigo ; de entre todos os animais , serás o único que é amaldiçoado . Terás de rastejar no pó da terra e comê-lo toda a tua vida .
62	OL	Gênesis	3	15	De agora em diante tu e a mulher serão inimigas , assim como os descendentes de ambas . O descendente da mulher te esmagará a cabeça , enquanto tu lhe ferirás o calcanhar. ”
63	OL	Gênesis	3	16	E à mulher disse : “ Terás de ter filhos com custo e dor . Desejarás muito a afeição do teu marido e este terá predomínio sobre ti. ”
64	OL	Gênesis	3	17	E para Adão : “ Porque deste ouvidos à tua mulher e comeste o fruto que te avisei que não tocasses , o solo da terra será maldito por tua causa . Terás de lutar a vida inteira para tirares da terra a tua subsistência .
65	OL	Gênesis	3	18	Dar-te-á muitos espinhos e cardos , mas tu comerás das suas verduras .
66	OL	Gênesis	3	19	Terás de suar muito durante a vida toda , para teres o sustento , até que morras e voltes para a terra donde foste tirado . Porque fundamentalmente és terra e para a terra voltarás. ”
67	OL	Gênesis	3	20	Portanto , Eva foi o nome que Adão chamou à sua mulher , “ porque ” , disse ele , “ se tornará a mãe de toda a humanidade. ”
68	OL	Gênesis	3	21	O Senhor Deus vestiu Adão e Eva com peles de animais .
69	OL	Gênesis	3	22	Disse então o Senhor Deus : “ Agora que o homem adquiriu a mesma capacidade que nós , de conhecer o bem e o mal , é preciso que não venha a comer também o fruto da árvore da vida e viva eternamente. ”
70	OL	Gênesis	3	23	Por isso , o Senhor Deus baniu-o do jardim do Éden e mandou-o cultivar a terra , a própria terra donde tinha sido tirado .
71	OL	Gênesis	3	24	E depois de o ter tirado dali , pôs querubins a oriente do jardim , os quais , com uma espada flamejante , guardavam o caminho de acesso à árvore da vida . O Livro Copyright ©
72	OL	Gênesis	3	2000	by Biblica , Inc.® Used by permission . All rights reserved worldwide .
73	OL	Gênesis	4	4	Abel fez o mesmo , mas com os primogénitos e melhores do seu gado . E o Senhor agradou-se de Abel e da sua oferta ;
74	OL	Gênesis	4	2	Depois teve outro filho , Abel . Abel tornou-se pastor de gado , enquanto Caim trabalhava na terra .
75	OL	Gênesis	4	3	Quando chegou o tempo da colheita , Caim trouxe ao Senhor uma oferta feita de produtos da terra .
76	OL	Gênesis	4	5	mas não de Caim nem da sua oferta . Este , em consequência , ficou muito dececionado e irritado . O seu aspeto alterou-se , por causa do ódio que sentia .
77	OL	Gênesis	4	6	“ Porque é que estás furioso ? ” , perguntou-lhe o Senhor . “ Porque estás assim alterado ?
