	estilo	livro	capitulo	versiculo	texto
0	VFL	Mateus	1	1	Esta é a lista dos antepassados de Jesus Cristo , descendente de Davi , que era descendente de Abraão .
1	VFL	Mateus	1	2	Abraão foi pai de Isaque ; Isaque , pai de Jacó ; Jacó , pai de Judá e de seus irmãos ;
2	VFL	Mateus	1	3	Judá , pai de Peres e de Zera . ( A mãe deles foi Tamar . ) Peres foi pai de Esrom ; Esrom , pai de Arão ;
3	VFL	Mateus	1	4	Arão , pai de Aminadabe ; Aminadabe , pai de Nasom ; Nasom , pai de Salmom ;
4	VFL	Mateus	1	5	Salmom , pai de Boaz . ( A mãe de Boaz foi Raabe . ) Boaz foi pai de Obede . ( A mãe de Obede foi Rute . ) Obede foi pai de Jessé ;
5	VFL	Mateus	1	6	Jessé , pai do rei Davi ; Davi , pai de Salomão . ( A mãe de Salomão tinha sido esposa de Urias . )
6	VFL	Mateus	1	7	Salomão foi pai de Roboão ; Roboão , pai de Abias ; Abias , pai de Asa ;
7	VFL	Mateus	1	8	Asa , pai de Josafá ; Josafá , pai de Jorão ; Jorão , pai de Uzias ;
8	VFL	Mateus	1	9	Uzias , pai de Jotão ; Jotão , pai de Acaz ; Acaz , pai de Ezequias ;
9	VFL	Mateus	1	10	Ezequias , pai de Manassés ; Manassés , pai de Amom ; Amom , pai de Josias ;
10	VFL	Mateus	1	11	Josias , pai de Jeconias e dos seus irmãos . ( Nessa época o povo de Israel foi levado prisioneiro para a Babilônia . )
11	VFL	Mateus	1	12	Depois do povo ter sido levado para a Babilônia , Jeconias foi pai de Salatiel ; Salatiel , pai de Zorobabel ;
12	VFL	Mateus	1	13	Zorobabel , pai de Abiúde ; Abiúde , pai de Eliaquim ; Eliaquim , pai de Azor ;
13	VFL	Mateus	1	14	Azor , pai de Sadoque ; Sadoque , pai de Aquim ; Aquim , pai de Eliúde ;
14	VFL	Mateus	1	15	Eliúde , pai de Eleazar ; Eleazar , pai de Matã ; Matã , pai de Jacó ;
15	VFL	Mateus	1	16	Jacó , pai de José . José foi marido de Maria , e Maria foi a mãe de Jesus , chamado Cristo .
16	VFL	Mateus	1	17	Catorze , portanto , é o número de gerações que separa Abraão de Davi . Catorze , também , é o número de gerações que separa Davi do tempo em que o povo de Israel foi levado prisioneiro para a Babilônia . Catorze , ainda , é o número de gerações que vai desde o cativeiro de Israel na Babilônia até o nascimento de Cristo . O nascimento de Cristo ( Lc 2.1-7 )
17	VFL	Mateus	1	18	O nascimento de Jesus Cristo aconteceu assim : Maria , sua mãe , ia se casar com José . Antes de se casar , porém , Maria ficou grávida pelo poder do Espírito Santo .
18	VFL	Mateus	1	19	José , seu futuro marido , resolveu anular o contrato de casamento sem dizer nada a ninguém , pois era um homem bom e não queria humilhar Maria .
19	VFL	Mateus	1	20	Naqueles dias em que José estava pensando nisso , um anjo do Senhor lhe apareceu em sonho e disse : —José , descendente de Davi . Não tenha medo de receber Maria como esposa . É pelo poder do Espírito Santo que ela está grávida .
20	VFL	Mateus	1	21	Ela terá um filho e você deverá lhe dar o nome de Jesus [ a ] , pois ele irá salvar o seu povo dos pecados deles .
21	VFL	Mateus	1	22	Tudo isto aconteceu para se cumprir o que o Senhor tinha dito pelo profeta :
22	VFL	Mateus	1	23	“ Olhem , a virgem ficará grávida e dará à luz um filho , ao qual será dado o nome Emanuel ” . ( A ) ( Emanuel quer dizer “ Deus está conosco ” . )
23	VFL	Mateus	1	24	Quando José acordou , fez o que o anjo do Senhor havia mandado . Ele recebeu Maria como esposa ,
24	VFL	Mateus	1	25	mas não tiveram nenhuma relação sexual até que o menino nascesse . E quando o menino nasceu , José lhe deu o nome de Jesus . Footnotes - 1.21 Jesus Nome que significa “ o Senhor salva ” . Copyright ©
25	VFL	Mateus	1	1999	by World Bible Translation Center
26	VFL	Mateus	2	2	Os sábios perguntaram : —Onde está o menino que nasceu para ser o rei dos judeus ? Nós vimos a sua estrela no Oriente e viemos para adorá-lo .
27	VFL	Mateus	2	3	Quando o rei Herodes soube disso , ficou muito perturbado e todo o povo de Jerusalém também .
28	VFL	Mateus	2	4	Ele , então , mandou reunir todos os líderes dos sacerdotes e professores da lei , e lhes perguntava onde deveria nascer o Cristo .
29	VFL	Mateus	2	5	Eles responderam : —Em Belém , na província da Judeia , pois foi isto que o profeta escreveu :
30	VFL	Mateus	2	6	“ E você , Belém , da terra de Judá , de maneira nenhuma é a menor entre as principais cidades da Judeia . De você virá o líder que será o pastor do meu povo Israel ” . ( A )
31	VFL	Mateus	2	7	Herodes , então , chamando os sábios para falar a sós com eles , descobriu o momento exato em que a estrela havia aparecido .
32	VFL	Mateus	2	8	Depois , enviando-os para Belém , lhes disse : —Vão e procurem o menino com todo o cuidado e , quando o encontrarem , venham me dizer , para que eu também possa ir adorá-lo .
33	VFL	Mateus	2	9	Os sábios ouviram as palavras do rei e depois partiram para Belém . A estrela que eles tinham visto no Oriente foi adiante deles até que , chegando , parou sobre o lugar onde o menino estava .
34	VFL	Mateus	2	10	Quando viram a estrela , os sábios ficaram extremamente alegres .
35	VFL	Mateus	2	11	Eles entraram na casa e viram o menino com Maria , sua mãe . Então , ajoelhando-se , o adoraram . Depois , abriram as caixas que levavam consigo e lhe ofereceram presentes : ouro , incenso e mirra .
36	VFL	Mateus	2	12	Deus os avisou em sonho que não voltassem para onde Herodes estava e eles voltaram para sua terra por outro caminho . A fuga para o Egito
37	VFL	Mateus	2	13	Depois dos sábios terem ido embora , um anjo do Senhor apareceu a José num sonho e lhe disse : —Levante-se ! Pegue o menino e a mãe dele e fuja para o Egito . Fique lá até eu lhe dizer que você pode voltar . Faça isso , pois Herodes vai procurar o menino para matá-lo .
38	VFL	Mateus	2	14	José se levantou , pegou o menino e sua mãe e partiu para o Egito durante a noite .
39	VFL	Mateus	2	15	Eles ficaram no Egito até a morte de Herodes . Tudo isto aconteceu para que se cumprisse o que o Senhor havia dito pelo profeta : “ Eu chamei o meu Filho , e ele veio da terra do Egito ” . ( B ) A matança dos meninos
40	VFL	Mateus	2	16	Quando Herodes percebeu que os sábios o tinham enganado , ficou muito furioso . Depois de calcular o tempo , de acordo com os dados fornecidos pelos sábios , mandou matar todos os meninos com menos de dois anos de idade que vivessem tanto em Belém como nos arredores .
41	VFL	Mateus	2	17	Isso aconteceu para que se cumprissem as palavras ditas por Deus por meio do profeta Jeremias :
42	VFL	Mateus	2	18	“ Um som foi ouvido em Ramá , som de choro e grande tristeza . Era Raquel que chorava por seus filhos , e não quis ser consolada porque eles já estão mortos ” . ( C ) A volta do Egito
43	VFL	Mateus	2	19	Depois da morte de Herodes , um anjo do Senhor apareceu a José no Egito , durante um sonho ,
44	VFL	Mateus	2	20	e disse : —Levante-se ! Pegue o menino e a mãe dele e leve-os para Israel , pois as pessoas que queriam matar o menino já morreram .
45	VFL	Mateus	2	21	José , então , se levantou , pegou o menino e a sua mãe e os levou para Israel .
46	VFL	Mateus	2	22	Mas quando soube que Arquelau reinava na Judeia no lugar do seu pai Herodes , teve medo de ir para lá . Entretanto , depois de ter sido avisado por Deus em sonho , partiu dali para a Galileia .
47	VFL	Mateus	2	23	Eles foram morar numa cidade chamada Nazaré , para que assim se cumprisse o que Deus havia dito por meio dos profetas : “ Ele será chamado nazareno [ a ] ” . Footnotes - 2.23 nazareno Este nome é similar à palabra hebraica “ renovo ” . Por isso acredita-se que Mateus poderia estar se referindo à promessa de um “ renovo ” da família de Davi . Ver Is 11.1 . Copyright ©
48	VFL	Mateus	2	1999	by World Bible Translation Center
